UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
117195,2404,1226,631,1773,48,7,28,8,7,0,1,5,2,1,48,5,2404,386,413,1207,398,631,132,71,322,106,1773,254,342,885,292,48,7,28,8,7,0,1,5,2,1,48,0,0,0,,,,,,,,,,,,1217,1217,0,226,226,0,991,991,0,3,44,51,3,329,25,4,28,85,6,1,7,43,18,39,43,18,39,,,
117238,128,128,128,0,27,20,49,2,2,1,0,1,0,0,77,17,128,22,0,106,0,128,22,0,106,0,0,0,0,0,0,27,20,49,2,2,1,0,1,0,0,77,0,0,0,,,,,,,,,,,,38,38,0,38,38,0,0,0,0,2,68,30,1,22,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
117247,10404,5229,2613,7791,14,21,23,27,27,1,0,5,3,5,54,3,10404,1008,1252,6011,2133,2613,336,233,1758,286,7791,672,1019,4253,1847,14,21,23,27,27,1,0,5,3,5,54,0,0,0,,,,,,,,,,,,4923,4923,0,1146,1146,0,3777,3777,0,7,43,47,3,838,0,108,62,83,0,11,6,11,12,77,11,12,77,,,
117274,2660,1251,539,2121,37,18,33,5,4,1,2,4,1,1,20,6,2660,835,463,1045,317,539,154,58,313,14,2121,681,405,732,303,37,18,33,5,4,1,2,4,1,1,20,0,0,0,,,,,,,,,,,,1689,1689,0,134,134,0,1555,1555,0,3,32,64,1,774,0,19,42,93,0,2,5,42,14,43,42,14,43,,,
117520,637,599,575,62,46,3,8,20,18,2,1,9,4,8,44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,637,575,62,46,3,8,20,18,2,1,9,4,8,44,467,0,467,407,0,407,60,0,60,,,,,,,,,,,,,1,9,90,,,,1,9,90
117557,573,558,548,25,2,1,1,3,3,0,0,2,0,91,45,7,92,9,0,83,0,74,6,0,68,0,18,3,0,15,0,9,8,3,11,11,0,0,10,0,60,52,481,474,7,1,0,0,2,2,0,0,0,0,97,43,,,,,,,,,,,,,,2,0,7,0,22,0,78,0,0,0,100,0,0,100,0,0,100
117575,197,134,94,103,41,14,12,16,15,2,1,4,3,10,39,4,50,2,6,42,0,12,2,1,9,0,38,0,5,33,0,56,10,16,6,2,4,0,2,4,6,26,147,82,65,36,16,10,20,19,1,1,4,3,11,44,,,,,,,,,,,,,,2,0,0,0,100,0,0,0,56,21,23,46,22,32,59,21,20
117627,2339,2078,1914,425,16,8,43,16,15,1,0,3,0,13,61,19,1825,356,151,1159,159,1630,355,124,1073,78,195,1,27,86,81,13,7,47,18,17,1,0,4,0,11,60,514,284,230,26,11,30,7,6,1,1,2,2,22,67,,,,,,,,,,,,,,313,33,10,0,88,9,3,0,0,0,100,0,0,100,0,0,100
117636,4448,3925,3596,852,31,7,23,27,27,0,0,5,0,8,64,0,1192,0,260,792,140,878,0,233,644,1,314,0,27,148,139,27,6,34,26,25,1,0,5,0,3,72,3256,2718,538,32,7,19,27,27,0,0,5,0,10,62,,,,,,,,,,,,,,,,,,,,,,5,11,84,11,23,65,3,6,91
117645,23845,13821,8754,15091,13,11,60,11,10,1,0,5,0,1,56,10,23845,3901,2154,16729,1061,8754,2339,741,5576,98,15091,1562,1413,11153,963,13,11,60,11,10,1,0,5,0,1,56,0,0,0,,,,,,,,,,,,7926,7926,0,1709,1709,0,6217,6217,0,2,64,33,1,3770,0,39,92,97,0,1,2,6,19,75,6,19,75,,,
117672,1211,876,659,552,34,5,21,22,21,1,0,7,8,1,59,0,654,2,0,110,542,111,2,0,31,78,543,0,0,79,464,25,8,27,24,23,1,0,5,10,0,72,557,548,9,45,3,15,20,19,0,0,10,6,1,44,836,427,409,465,64,401,371,363,8,0,34,65,1,2,0,0,0,100,0,0,0,3,0,97,5,0,95,0,0,100
117690,8704,4613,2545,6159,8,8,61,9,9,1,0,3,9,1,59,11,8704,1486,531,5425,1262,2545,935,143,1458,9,6159,551,388,3967,1253,8,8,61,9,9,1,0,3,9,1,59,0,0,0,,,,,,,,,,,,2360,2360,0,308,308,0,2052,2052,0,15,57,27,0,1399,0,79,8,94,0,5,1,17,23,60,17,23,60,,,
117706,17664,9493,5363,12301,21,4,50,8,8,0,0,3,13,1,55,11,17664,3515,1008,11985,1156,5363,1914,232,3197,20,12301,1601,776,8788,1136,21,4,50,8,8,0,0,3,13,1,55,0,0,0,,,,,,,,,,,,5180,5180,0,897,897,0,4283,4283,0,8,62,29,1,3287,0,196,32,94,0,6,1,10,16,75,10,16,75,,,
117715,5678,2794,1337,4341,2,37,46,1,1,0,0,2,11,1,69,8,5678,934,465,3510,769,1337,480,110,729,18,4341,454,355,2781,751,2,37,46,1,1,0,0,2,11,1,69,0,0,0,,,,,,,,,,,,2355,2355,0,363,363,0,1992,1992,0,14,44,41,1,851,0,76,7,91,0,8,1,13,17,70,13,17,70,,,
117724,13357,6601,3187,10170,3,13,69,3,2,0,0,1,9,2,48,6,13357,2278,1143,8111,1825,3187,845,274,2039,29,10170,1433,869,6072,1796,3,13,69,3,2,0,0,1,9,2,48,0,0,0,,,,,,,,,,,,5720,5720,0,1187,1187,0,4533,4533,0,14,43,43,0,2053,0,197,28,90,0,9,1,3,8,89,3,8,89,,,
117733,16194,8170,4115,12079,23,4,52,6,6,0,0,2,13,1,57,8,16194,2685,1000,11321,1188,4115,1281,226,2590,18,12079,1404,774,8731,1170,23,4,52,6,6,0,0,2,13,1,57,0,0,0,,,,,,,,,,,,5955,5955,0,1069,1069,0,4886,4886,0,8,54,37,1,2480,0,192,13,92,0,7,0,19,24,57,19,24,57,,,
117751,2057,1472,1103,954,58,4,13,6,6,0,0,7,9,4,37,18,1387,269,99,817,202,953,250,83,620,0,434,19,16,197,202,63,3,8,3,3,0,0,9,11,2,47,670,150,520,46,5,23,11,11,0,0,1,3,10,16,864,273,591,164,48,116,700,225,475,1,77,22,0,152,107,10,0,57,40,4,0,20,1,80,24,1,75,11,0,89
117788,13909,7284,3935,9974,13,6,57,10,9,0,0,2,10,3,58,8,13909,1915,1184,8557,2253,3935,1088,301,2526,20,9974,827,883,6031,2233,13,6,57,10,9,0,0,2,10,3,58,0,0,0,,,,,,,,,,,,5577,5577,0,1406,1406,0,4171,4171,0,17,42,40,2,1647,0,242,26,86,0,13,1,12,14,74,12,14,74,,,
117803,212,71,0,212,19,5,44,29,29,0,0,2,0,0,77,0,212,0,39,173,0,0,0,0,0,0,212,0,39,173,0,19,5,44,29,29,0,0,2,0,0,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,100,,,
