UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
100654,6106,5727,5492,614,3,89,1,0,0,0,0,1,5,1,61,27,5143,1405,155,3430,153,4842,1402,137,3158,145,301,3,18,272,8,2,91,1,0,0,0,0,1,4,1,59,963,650,313,7,76,0,1,1,0,0,1,11,3,71,958,330,628,594,232,362,364,98,266,1,93,6,0,649,734,0,22,46,52,0,2,2,18,80,1,17,81,5,20,76
100663,21923,17165,14220,7703,59,22,3,6,6,0,0,4,1,5,62,16,13836,2299,1437,9450,650,10042,2245,896,6848,53,3794,54,541,2602,597,56,26,3,6,6,0,0,5,1,3,61,8087,4178,3909,63,15,3,6,6,0,0,2,2,9,64,8884,2977,5907,3374,895,2479,5510,2082,3428,3,75,22,0,1917,353,29,0,83,15,1,0,26,32,43,18,43,39,39,12,49
100690,755,473,295,460,28,67,1,1,1,1,1,0,3,0,64,0,351,1,288,62,0,175,1,136,38,0,176,0,152,24,0,24,72,2,1,1,0,1,0,2,0,68,404,120,284,31,62,1,2,1,1,1,0,3,0,60,,,,,,,,,,,,,,1,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0
100706,9736,8123,7125,2611,70,10,5,4,4,0,1,3,4,5,44,19,7671,1435,877,5146,213,6393,1428,681,4273,11,1278,7,196,873,202,71,10,5,4,4,0,1,3,3,2,42,2065,732,1333,65,9,3,3,3,0,1,1,6,13,52,2923,1352,1571,1201,730,471,1722,622,1100,3,79,18,0,913,477,28,17,64,33,2,1,7,21,72,2,22,76,22,18,60
100724,4413,4118,3934,479,4,91,1,1,0,0,0,1,1,1,64,26,3903,1038,147,2718,0,3643,1025,136,2482,0,260,13,11,236,0,2,94,1,0,0,0,0,1,1,1,63,510,291,219,21,72,1,1,1,0,0,1,1,4,71,670,325,345,384,237,147,286,88,198,2,90,8,0,602,425,11,0,58,41,1,0,10,7,83,9,6,85,15,10,75
100751,38390,35118,33038,5352,76,11,5,1,1,0,0,3,1,3,56,20,33028,6663,1555,23959,851,29586,6632,1000,21856,98,3442,31,555,2103,753,77,10,5,1,1,0,0,3,0,2,56,5362,3452,1910,67,13,4,1,1,0,0,2,1,10,60,6188,2576,3612,2800,881,1919,3388,1695,1693,3,90,8,0,2271,4259,125,8,34,64,2,0,10,29,61,7,31,62,30,15,56
100760,1681,1057,742,939,75,20,2,1,1,0,0,1,0,0,54,19,1681,372,80,759,470,742,315,45,376,6,939,57,35,383,464,75,20,2,1,1,0,0,1,0,0,54,0,0,0,,,,,,,,,,,,266,266,0,74,74,0,192,192,0,21,63,16,0,363,9,0,0,98,2,0,0,8,31,60,8,31,60,,,
100812,3044,1956,1229,1815,75,14,3,1,1,0,2,2,3,0,68,0,2885,0,797,1935,153,1205,0,471,733,1,1680,0,326,1202,152,76,13,3,1,1,0,1,2,3,0,69,159,24,135,58,31,3,1,1,0,3,4,1,0,60,1914,1758,156,550,527,23,1364,1231,133,0,39,61,0,,,,,,,,,67,25,7,66,27,8,99,0,1
100830,5211,4340,3775,1436,44,40,1,2,2,0,0,5,2,5,66,16,4632,757,515,3257,103,3554,730,401,2416,7,1078,27,114,841,96,45,41,1,2,2,0,0,4,1,5,65,579,221,358,32,34,1,2,2,0,0,15,6,9,67,1404,970,434,607,475,132,797,495,302,2,76,21,0,661,57,37,2,87,8,5,0,12,36,52,8,37,55,41,28,30
100858,30440,27573,25806,4634,76,6,3,2,2,0,0,2,0,10,49,19,24628,4783,1167,18197,481,22460,4744,1058,16434,224,2168,39,109,1763,257,79,5,3,2,2,0,0,2,0,7,48,5812,3346,2466,62,8,3,2,2,0,0,1,0,22,53,4785,1020,3765,2346,610,1736,2439,410,2029,1,95,4,0,2756,1980,47,0,58,41,1,0,5,18,77,1,21,78,21,7,73
100937,1268,1264,1261,7,79,14,2,3,3,0,0,1,0,1,52,26,1268,328,45,892,3,1261,328,45,887,1,7,0,0,5,2,79,14,2,3,3,0,0,1,0,1,52,0,0,0,,,,,,,,,,,,16,16,0,14,14,0,2,2,0,1,98,1,0,204,121,2,1,62,37,1,0,0,0,100,0,0,100,,,
101028,1568,1100,864,704,46,41,6,1,1,0,0,4,2,0,61,21,1568,404,243,799,122,864,329,116,413,6,704,75,127,386,116,46,41,6,1,1,0,0,4,2,0,61,0,0,0,,,,,,,,,,,,535,535,0,208,208,0,327,327,0,6,60,34,0,316,88,0,0,78,22,0,0,4,24,72,4,24,72,,,
101116,390,301,244,146,26,68,2,1,1,1,0,0,2,0,76,2,321,7,64,250,0,244,7,40,197,0,77,0,24,53,0,28,66,2,2,1,1,0,0,2,0,77,69,0,69,17,80,1,0,0,0,1,0,0,0,71,,,,,,,,,,,,,,7,0,0,0,100,0,0,0,0,52,48,0,53,47,0,49,51
101143,1705,1170,899,806,67,21,6,2,1,0,1,3,0,0,51,19,1705,394,158,717,436,899,317,116,438,28,806,77,42,279,408,67,21,6,2,1,0,1,3,0,0,51,0,0,0,,,,,,,,,,,,366,366,0,178,178,0,188,188,0,20,58,21,0,370,16,0,8,94,4,0,2,10,28,62,10,28,62,,,
101161,7419,4779,3444,3975,66,24,3,1,1,0,2,3,1,0,58,19,7419,1691,532,3271,1925,3444,1441,317,1654,32,3975,250,215,1617,1893,66,24,3,1,1,0,2,3,1,0,58,0,0,0,,,,,,,,,,,,1436,1436,0,515,515,0,921,921,0,19,61,19,0,1582,96,0,13,94,6,0,1,11,31,57,11,31,57,,,
101189,3178,2573,2185,993,51,40,2,1,1,0,1,2,2,2,60,10,2428,273,465,1341,349,1585,254,288,1041,2,843,19,177,300,347,49,42,2,1,1,0,0,2,2,2,60,750,600,150,59,33,3,1,1,0,1,1,1,1,61,1627,1037,590,1109,661,448,518,376,142,14,43,43,0,205,62,6,0,75,23,2,0,35,17,48,27,20,53,64,7,30
101240,4736,3117,2299,2437,72,18,4,1,1,0,1,3,0,2,60,18,4736,1077,345,2725,589,2299,865,183,1234,17,2437,212,162,1491,572,72,18,4,1,1,0,1,3,0,2,60,0,0,0,,,,,,,,,,,,1413,1413,0,538,538,0,875,875,0,9,61,30,0,1007,4,14,52,94,0,1,5,16,34,50,16,34,50,,,
101277,83,83,83,0,78,6,16,0,0,0,0,0,0,0,99,42,83,35,0,48,0,83,35,0,48,0,0,0,0,0,0,78,6,16,0,0,0,0,0,0,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,35,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
101286,4610,2740,1795,2815,65,27,3,1,1,0,0,2,0,0,66,14,4610,919,250,2577,864,1795,658,105,1012,20,2815,261,145,1565,844,65,27,3,1,1,0,0,2,0,0,66,0,0,0,,,,,,,,,,,,1411,1411,0,472,472,0,939,939,0,16,53,31,0,891,28,0,0,97,3,0,0,8,16,77,8,16,77,,,
101295,5057,3409,2576,2481,84,5,5,1,1,0,1,0,3,1,65,18,5057,1177,396,2996,488,2576,934,216,1332,94,2481,243,180,1664,394,84,5,5,1,1,0,1,0,3,1,65,0,0,0,,,,,,,,,,,,1193,1193,0,431,431,0,762,762,0,7,69,24,0,1158,18,1,0,98,2,0,0,13,31,56,13,31,56,,,
101301,1475,968,712,763,22,74,1,1,1,0,0,1,0,1,62,19,1475,320,50,734,371,712,279,31,376,26,763,41,19,358,345,22,74,1,1,1,0,0,1,0,1,62,0,0,0,,,,,,,,,,,,304,304,0,127,127,0,177,177,0,20,59,21,0,318,0,0,2,99,0,0,1,24,31,45,24,31,45,,,
101365,571,389,271,300,28,60,2,0,0,0,1,3,7,0,79,3,551,39,104,401,7,262,16,34,212,0,289,23,70,189,7,28,60,2,0,0,0,1,3,7,0,79,20,9,11,15,70,0,0,0,0,0,0,15,0,85,,,,,,,,,,,,,,36,1,0,2,92,3,0,5,40,17,43,38,17,45,100,0,0
101435,1081,960,881,200,65,22,6,1,1,0,1,4,2,0,50,23,1081,249,74,755,3,881,248,38,595,0,200,1,36,160,3,65,22,6,1,1,0,1,4,2,0,50,0,0,0,,,,,,,,,,,,182,182,0,31,31,0,151,151,0,0,83,17,0,162,86,0,1,65,35,0,0,0,4,96,0,4,96,,,
101453,78,52,35,43,77,6,5,1,1,0,3,3,0,5,4,8,51,7,3,39,2,26,4,1,21,0,25,3,2,18,2,76,8,8,2,2,0,0,2,0,4,4,27,9,18,78,4,0,0,0,0,7,4,0,7,4,,,,,,,,,,,,,,2,5,0,0,29,71,0,0,49,37,14,51,39,10,44,33,22
101462,831,486,312,519,36,52,3,1,1,0,1,5,1,2,52,9,831,119,136,423,153,312,74,57,180,1,519,45,79,243,152,36,52,3,1,1,0,1,5,1,2,52,0,0,0,,,,,,,,,,,,385,385,0,148,148,0,237,237,0,14,39,46,1,115,1,0,3,97,1,0,3,8,35,57,8,35,57,,,
101471,443,381,349,94,43,55,1,0,0,0,1,0,0,0,26,47,443,277,16,150,0,349,208,15,126,0,94,69,1,24,0,43,55,1,0,0,0,1,0,0,0,26,0,0,0,,,,,,,,,,,,349,349,0,268,268,0,81,81,0,0,21,79,0,277,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
101480,8479,6788,5707,2772,72,19,1,1,1,0,1,0,5,2,59,14,7321,1073,568,4753,927,5459,1060,434,3862,103,1862,13,134,891,824,73,18,1,1,1,0,0,0,6,2,58,1158,248,910,68,24,1,0,0,0,1,0,3,3,66,2034,1070,964,704,537,167,1330,533,797,11,75,15,0,819,250,0,4,76,23,0,0,21,47,32,13,52,35,72,17,11
101505,9078,4814,2659,6419,68,20,5,2,2,0,0,3,0,2,61,11,9078,1694,862,4381,2141,2659,1031,341,1264,23,6419,663,521,3117,2118,68,20,5,2,2,0,0,3,0,2,61,0,0,0,,,,,,,,,,,,2429,2429,0,521,521,0,1908,1908,0,17,56,27,0,1564,59,4,67,92,3,0,4,16,23,61,16,23,61,,,
101514,9736,5436,3262,6474,67,16,6,2,2,0,1,5,1,1,54,12,9736,2102,677,5491,1466,3262,1182,258,1776,46,6474,920,419,3715,1420,67,16,6,2,2,0,1,5,1,1,54,0,0,0,,,,,,,,,,,,2970,2970,0,693,693,0,2277,2277,0,9,60,31,0,2049,38,14,1,97,2,1,0,20,26,54,20,26,54,,,
101541,268,237,217,51,69,19,3,1,0,0,2,0,6,0,99,23,268,66,20,173,9,217,62,11,144,0,51,4,9,29,9,69,19,3,1,0,0,2,0,6,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,57,9,0,0,86,14,0,0,15,9,76,15,9,76,,,
101569,3274,2192,1645,1629,14,81,2,1,1,0,0,1,0,0,61,21,3274,901,341,1717,315,1645,679,168,793,5,1629,222,173,924,310,14,81,2,1,1,0,0,1,0,0,61,0,0,0,,,,,,,,,,,,941,941,0,322,322,0,619,619,0,7,64,29,0,874,27,0,0,97,3,0,0,5,15,80,5,15,80,,,
101587,5200,4929,4755,445,51,37,1,0,0,0,1,2,5,3,72,19,2154,415,354,1383,2,1836,413,329,1094,0,318,2,25,289,2,43,43,2,0,0,0,0,3,3,5,58,3046,2919,127,56,33,1,0,0,0,1,1,7,1,81,3171,433,2738,2960,338,2622,211,95,116,2,78,20,0,340,65,10,0,82,16,2,0,65,7,29,21,13,66,96,2,2
101602,1784,1184,880,904,73,21,2,1,1,0,1,3,1,0,57,21,1784,417,100,750,517,880,377,66,436,1,904,40,34,314,516,73,21,2,1,1,0,1,3,1,0,57,0,0,0,,,,,,,,,,,,297,297,0,141,141,0,156,156,0,26,58,17,0,396,17,0,4,95,4,0,1,6,34,60,6,34,60,,,
101648,394,392,391,3,63,17,9,3,3,0,1,7,0,0,24,58,394,230,9,153,2,391,230,9,152,0,3,0,0,1,2,63,17,9,3,3,0,1,7,0,0,24,0,0,0,,,,,,,,,,,,2,2,0,0,0,0,2,2,0,1,99,1,0,86,141,0,3,37,61,0,1,0,0,100,0,0,100,,,
101675,1550,1501,1470,80,3,95,1,0,0,0,0,1,0,0,53,22,1550,354,147,1045,4,1470,348,136,984,2,80,6,11,61,2,3,95,1,0,0,0,0,1,0,0,53,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,232,122,0,0,66,34,0,0,3,2,95,3,2,95,,,
101693,1885,1500,1252,633,62,24,1,2,2,1,2,2,2,3,66,14,1676,253,113,928,382,1150,241,101,808,0,526,12,12,120,382,64,22,2,2,2,1,2,3,2,3,65,209,102,107,46,42,1,2,1,1,1,1,2,4,79,,,,,,,,,,,,,,183,62,8,0,72,25,3,0,11,30,59,8,31,61,34,21,45
101709,2612,2359,2202,410,68,16,5,1,1,0,0,4,3,2,69,21,2281,490,135,1626,30,2063,488,126,1448,1,218,2,9,178,29,67,17,5,1,1,0,0,4,3,3,67,331,139,192,75,16,2,1,1,0,0,2,4,1,80,,,,,,,,,,,,,,403,59,0,28,82,12,0,6,1,24,76,0,22,78,6,37,56
101736,3539,2090,1358,2181,79,10,6,1,1,0,1,0,3,1,61,18,3539,793,77,1720,949,1358,639,38,679,2,2181,154,39,1041,947,79,10,6,1,1,0,1,0,3,1,61,0,0,0,,,,,,,,,,,,648,648,0,204,204,0,444,444,0,20,62,18,0,761,6,0,26,96,1,0,3,12,25,63,12,25,63,,,
101879,7488,6137,5298,2190,72,14,3,2,2,0,1,3,3,4,60,16,6153,1005,636,4100,412,5023,987,532,3495,9,1130,18,104,605,403,72,14,3,1,1,0,1,3,3,3,60,1335,275,1060,72,14,3,2,2,0,1,2,1,4,59,,,,,,,,,,,,,,844,134,26,1,84,13,3,0,22,37,42,10,43,48,77,9,14
101897,2883,1738,1159,1724,82,2,11,1,0,0,3,2,0,0,62,16,2883,579,93,1310,901,1159,474,49,611,25,1724,105,44,699,876,82,2,11,1,0,0,3,2,0,0,62,0,0,0,,,,,,,,,,,,559,559,0,200,200,0,359,359,0,26,54,19,0,571,3,0,5,99,1,0,1,15,42,43,15,42,43,,,
101912,1636,1555,1502,134,1,81,5,1,1,0,1,0,4,7,58,20,1581,318,70,1181,12,1449,316,69,1064,0,132,2,1,117,12,1,83,5,0,0,0,1,0,4,7,57,55,53,2,18,42,7,20,20,0,2,0,7,4,73,262,218,44,191,149,42,71,69,2,4,82,14,0,52,244,19,3,16,77,6,1,9,10,81,7,11,82,67,0,33
101994,396,231,148,248,42,54,1,1,0,0,1,1,1,0,58,17,396,75,57,129,135,148,68,22,57,1,248,7,35,72,134,42,54,1,1,0,0,1,1,1,0,58,0,0,0,,,,,,,,,,,,98,98,0,27,27,0,71,71,0,27,49,25,0,74,1,0,0,99,1,0,0,0,0,100,0,0,100,,,
102030,2860,1907,1425,1435,28,63,2,3,3,0,1,2,0,1,58,22,2860,833,230,1377,420,1425,624,136,663,2,1435,209,94,714,418,28,63,2,3,3,0,1,2,0,1,58,0,0,0,,,,,,,,,,,,933,933,0,420,420,0,513,513,0,12,55,33,1,796,30,1,6,96,4,0,1,2,10,88,2,10,88,,,
102049,5619,5418,5292,327,81,9,3,2,1,0,0,2,2,1,66,27,3535,958,125,2441,11,3453,958,115,2379,1,82,0,10,62,10,85,6,3,1,1,0,0,2,0,1,67,2084,1839,245,74,15,2,2,2,0,1,2,4,1,65,1288,95,1193,1021,56,965,267,39,228,1,97,3,0,295,653,7,3,31,68,1,0,12,19,70,1,18,82,30,20,50
102058,317,265,231,86,2,97,1,0,0,0,0,0,0,0,56,16,304,55,132,117,0,227,50,104,73,0,77,5,28,44,0,2,97,1,0,0,0,0,0,0,0,57,13,4,9,0,100,0,0,0,0,0,0,0,0,38,,,,,,,,,,,,,,53,2,0,0,96,4,0,0,0,0,100,0,0,100,0,0,100
102067,4350,2771,1973,2377,55,37,0,1,1,0,0,2,4,1,56,17,4350,1062,241,2526,521,1973,756,134,1055,28,2377,306,107,1471,493,55,37,0,1,1,0,0,2,4,1,56,0,0,0,,,,,,,,,,,,953,953,0,302,302,0,651,651,0,5,73,22,0,1007,37,2,16,95,3,0,2,14,21,65,14,21,65,,,
102076,2280,1587,1236,1044,73,8,13,1,1,0,3,0,1,1,62,20,2280,509,153,1210,408,1236,449,69,705,13,1044,60,84,505,395,73,8,13,1,1,0,3,0,1,1,62,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,484,12,0,13,95,2,0,3,36,44,20,36,44,20,,,
102094,14834,13301,12323,2511,63,21,4,4,3,0,1,3,3,3,65,18,10293,1910,776,7349,258,8637,1892,672,6053,20,1656,18,104,1296,238,61,23,4,3,3,0,1,4,2,3,59,4541,3686,855,67,17,3,4,4,0,1,2,4,2,78,5183,1460,3723,3687,785,2902,1496,675,821,2,84,14,0,1491,404,15,0,78,21,1,0,23,25,52,3,34,63,68,4,29
102234,1379,1299,1249,130,67,15,3,1,1,0,1,4,4,5,59,25,1254,309,23,920,2,1241,309,22,910,0,13,0,1,10,2,66,16,3,1,1,0,1,4,4,5,61,125,8,117,74,8,3,2,2,0,1,2,5,5,38,128,24,104,22,16,6,106,8,98,0,98,2,0,127,168,14,0,41,54,5,0,4,1,95,0,0,100,46,6,48
102270,797,714,660,137,5,82,0,0,0,0,0,0,13,0,57,18,797,145,95,449,108,660,144,89,422,5,137,1,6,27,103,5,82,0,0,0,0,0,0,13,0,57,0,0,0,,,,,,,,,,,,102,102,0,81,81,0,21,21,0,8,79,13,0,111,32,2,0,77,22,1,0,5,43,52,5,43,52,,,
102298,1212,1138,1090,122,3,85,4,0,0,0,0,2,1,4,50,23,1208,294,105,809,0,1088,275,104,709,0,120,19,1,100,0,3,85,4,0,0,0,0,2,1,4,49,4,2,2,0,75,0,25,25,0,0,0,0,0,100,,,,,,,,,,,,,,66,225,0,3,22,77,0,1,8,92,0,8,92,0,100,0,0
102313,1855,1181,840,1015,28,68,2,1,1,0,0,0,0,0,56,14,1855,406,227,934,288,840,265,105,470,0,1015,141,122,464,288,28,68,2,1,1,0,0,0,0,0,56,0,0,0,,,,,,,,,,,,596,596,0,277,277,0,319,319,0,13,54,32,0,404,0,0,2,100,0,0,0,2,18,80,2,18,80,,,
102368,16981,12899,10305,6676,46,30,3,1,1,0,0,3,13,4,63,13,13452,1929,1398,9820,305,9161,1691,836,6599,35,4291,238,562,3221,270,52,31,4,1,1,0,1,3,4,5,62,3529,1144,2385,22,26,1,0,0,0,0,1,46,3,67,6775,4121,2654,2317,1600,717,4458,2521,1937,23,47,31,0,1442,452,35,0,75,23,2,0,39,13,49,33,14,53,58,7,35
102377,3026,2953,2907,119,2,80,2,3,1,2,0,0,14,0,64,22,2529,562,98,1869,0,2462,561,98,1803,0,67,1,0,66,0,0,85,1,3,1,2,0,0,11,0,64,497,445,52,9,54,7,3,2,1,1,0,25,0,68,,,,,,,,,,,,,,136,423,0,3,24,75,0,1,0,0,100,0,0,100,1,0,99
102395,546,318,174,372,61,18,9,4,4,0,0,4,3,0,25,0,305,0,40,226,39,86,0,6,80,0,219,0,34,146,39,57,16,12,6,6,0,0,5,3,0,20,241,88,153,65,21,5,1,1,0,0,3,4,0,32,456,224,232,144,62,82,312,162,150,0,27,73,0,,,,,,,,,100,0,0,100,0,0,100,0,0
102429,3745,2224,1455,2290,81,14,2,1,1,0,0,1,1,0,60,16,3745,750,281,1794,920,1455,606,109,731,9,2290,144,172,1063,911,81,14,2,1,1,0,0,1,1,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,743,6,0,1,99,1,0,0,10,21,69,10,21,69,,,
102553,14644,9849,6645,7999,53,3,8,9,7,2,6,11,8,2,59,8,13885,1607,21,8854,3403,6451,1151,8,4686,606,7434,456,13,4168,2797,53,3,8,9,7,2,6,11,9,2,59,759,194,565,67,3,6,5,4,1,5,8,3,3,65,6284,5602,682,1878,1730,148,4406,3872,534,9,50,40,1,1503,74,29,1,94,5,2,0,19,33,48,18,34,48,43,19,38
102580,45,37,32,13,89,2,2,2,2,0,2,2,0,0,40,20,45,9,4,24,8,32,9,4,19,0,13,0,0,5,8,89,2,2,2,2,0,2,2,0,0,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,67,33,0,0,0,13,87,0,13,87,,,
102614,7404,4897,3237,4167,53,3,7,3,2,1,13,8,11,3,59,9,6429,746,373,3538,1772,2783,584,214,1908,77,3646,162,159,1630,1695,52,3,7,3,2,1,14,8,11,2,59,975,454,521,60,1,5,3,2,0,5,6,11,10,59,3784,2959,825,1021,670,351,2763,2289,474,5,47,46,1,667,62,12,5,89,8,2,1,36,24,40,32,24,44,61,23,17
102632,2266,1327,705,1561,55,1,7,4,2,2,13,8,11,2,66,8,2010,219,169,828,794,644,164,90,325,65,1366,55,79,503,729,54,1,7,5,3,2,13,8,11,1,65,256,61,195,64,1,7,2,1,0,7,4,9,5,72,1263,1020,243,246,189,57,1017,831,186,8,39,51,1,203,15,1,0,93,7,0,0,51,17,32,47,17,36,77,18,5
102669,502,352,258,244,45,2,6,2,2,0,23,10,12,0,65,12,301,41,60,182,18,216,36,39,126,15,85,5,21,56,3,45,2,7,2,1,0,22,12,11,0,67,201,42,159,46,2,5,3,2,0,23,6,13,1,62,,,,,,,,,,,,,,23,16,0,2,56,39,0,5,16,13,71,26,19,55,1,3,96
102711,855,377,135,720,49,1,4,2,1,1,22,6,17,0,16,10,855,723,0,132,0,135,85,0,50,0,720,638,0,82,0,49,1,4,2,1,1,22,6,17,0,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,692,11,0,20,96,2,0,3,0,0,100,0,0,100,,,
102845,2853,2853,2853,0,38,7,25,6,0,6,11,7,7,0,75,21,2853,600,210,2043,0,2853,600,210,2043,0,0,0,0,0,0,38,7,25,6,0,6,11,7,7,0,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,295,305,0,0,49,51,0,0,26,68,6,26,68,6,,,
103501,415,415,415,0,37,11,9,22,20,2,13,7,2,0,86,55,415,230,0,185,0,415,230,0,185,0,0,0,0,0,0,37,11,9,22,20,2,13,7,2,0,86,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,230,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
103741,102,88,78,24,24,7,60,0,0,0,3,3,4,0,87,49,102,61,0,41,0,78,50,0,28,0,24,11,0,13,0,24,7,60,0,0,0,3,3,4,0,87,0,0,0,,,,,,,,,,,,33,33,0,20,20,0,13,13,0,0,68,32,0,61,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
103893,475,430,401,74,35,5,28,3,1,1,9,8,13,0,89,17,475,93,126,256,0,401,80,94,227,0,74,13,32,29,0,35,5,28,3,1,1,9,8,13,0,89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,83,10,0,0,89,11,0,0,0,56,44,0,56,44,,,
103909,541,481,441,100,43,8,14,4,4,0,14,12,5,0,86,25,541,169,42,330,0,441,134,33,274,0,100,35,9,56,0,43,8,14,4,4,0,14,12,5,0,86,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,150,11,0,8,89,7,0,5,0,34,66,0,34,66,,,
103927,227,202,185,42,37,7,29,1,0,1,4,8,15,0,84,18,227,57,29,141,0,185,40,28,117,0,42,17,1,24,0,37,7,29,1,0,1,4,8,15,0,84,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,3,95,0,0,5,0,39,61,0,39,61,,,
103945,62,62,62,0,10,0,15,2,0,2,31,44,0,0,87,11,62,7,5,50,0,62,7,5,50,0,0,0,0,0,0,10,0,15,2,0,2,31,44,0,0,87,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,100,0,0,0,0,100,0,0,100,0,,,
103954,57,57,57,0,26,5,47,2,2,0,2,18,0,0,93,11,57,6,0,51,0,57,6,0,51,0,0,0,0,0,0,26,5,47,2,2,0,2,18,0,0,93,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
103963,692,692,692,0,38,4,39,0,0,0,6,1,11,0,9,34,692,237,0,455,0,692,237,0,455,0,0,0,0,0,0,38,4,39,0,0,0,6,1,11,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,237,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
104090,1251,924,713,538,34,20,31,4,4,0,6,3,2,0,83,17,1235,415,38,777,5,708,215,22,466,5,527,200,16,311,0,33,20,31,4,4,0,6,3,2,0,83,16,5,11,75,6,13,0,0,0,0,0,6,0,88,,,,,,,,,,,,,,333,82,0,0,80,20,0,0,28,71,1,27,72,1,100,0,0
104151,51585,48279,46180,5405,48,3,19,8,7,0,1,4,1,16,44,21,42844,8861,3077,30591,315,39396,8809,2646,27750,191,3448,52,431,2841,124,50,4,21,8,8,0,1,4,0,11,44,8741,6784,1957,38,2,9,5,5,0,1,2,1,42,42,9682,4043,5639,6794,2791,4003,2888,1252,1636,2,88,9,0,5397,2954,501,9,61,33,6,0,1,46,54,0,54,46,3,7,90
104160,7434,3935,2166,5268,15,3,72,2,1,0,1,2,4,1,58,10,7434,2085,393,4195,761,2166,762,107,1158,139,5268,1323,286,3037,622,15,3,72,2,1,0,1,2,4,1,58,0,0,0,,,,,,,,,,,,1933,1933,0,308,308,0,1625,1625,0,14,60,26,0,2029,40,0,16,97,2,0,1,19,33,48,19,33,48,,,
104179,44097,39279,36213,7884,49,4,24,6,5,0,1,4,3,9,52,18,34153,7750,2166,23593,644,29027,6011,1693,21269,54,5126,1739,473,2324,590,50,4,27,5,5,0,1,5,2,7,52,9944,7186,2758,47,3,14,7,6,0,2,3,6,18,53,10986,3422,7564,7243,2050,5193,3743,1372,2371,3,87,10,0,4279,3104,265,102,55,40,3,1,10,29,62,6,35,59,24,7,70
104188,125,121,118,7,33,3,48,2,2,0,6,0,7,0,47,19,124,23,20,81,0,117,23,20,74,0,7,0,0,7,0,33,3,48,2,2,0,6,0,7,0,48,1,1,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,23,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,100
104346,5044,2832,1714,3330,40,7,31,2,2,0,5,4,10,1,63,12,5044,1650,356,2970,68,1714,595,127,971,21,3330,1055,229,1999,47,40,7,31,2,2,0,5,4,10,1,63,0,0,0,,,,,,,,,,,,1741,1741,0,401,401,0,1340,1340,0,7,57,35,1,1601,46,3,0,97,3,0,0,21,25,54,21,25,54,,,
104391,43,43,43,0,65,2,12,9,5,5,5,5,2,0,93,95,43,41,0,2,0,43,41,0,2,0,0,0,0,0,0,65,2,12,9,5,5,5,5,2,0,93,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,40,1,0,0,98,2,0,0,0,0,100,0,0,100,,,
